country,date,gdp,population,inflation,poverty,unemployment,life_expectancy,literacy,gdp_per_capita,population_millions,gdp_billions,high_unemployment,high_inflation,development_score
Uganda,1970-01-01 00:00:00.000001976,2447300000.0,12037294.0,5.946570077545658,70.24,3.1274285714285712,46.169,71.3237656509463,203.3098136508089,12.037294,2.4473,False,False,12.948289965221482
Uganda,1970-01-01 00:00:00.000001977,2936470588.23529,12359669.0,5.946570077545658,70.24,3.1274285714285712,45.84,71.3237656509463,237.58488906420473,12.359669,2.93647058823529,False,False,12.912032520986886
Uganda,1970-01-01 00:00:00.000001978,2420260869.56522,12692113.0,5.946570077545658,70.24,3.1274285714285712,45.596,71.3237656509463,190.69014509760666,12.692113,2.4202608695652197,False,False,12.885142501554538
Uganda,1970-01-01 00:00:00.000001979,2139025000.0,13002163.0,5.946570077545658,70.24,3.1274285714285712,45.385,71.3237656509463,164.5130121811271,13.002163,2.139025,False,False,12.86188924704542
Uganda,1970-01-01 00:00:00.000001980,1244610000.0,13275741.0,5.946570077545658,70.24,3.1274285714285712,43.453,71.3237656509463,93.75069911351841,13.275741,1.24461,False,False,12.648973191540122
Uganda,1970-01-01 00:00:00.000001981,1337300000.0,13556452.0,5.946570077545658,70.24,3.1274285714285712,43.456,71.3237656509463,98.64675506541091,13.556452,1.3373,False,False,12.649303806533142
Uganda,1970-01-01 00:00:00.000001982,2177500000.0,13873631.0,5.946570077545658,70.24,3.1274285714285712,43.309,71.3237656509463,156.95242290933066,13.873631,2.1775,False,False,12.63310367187513
Uganda,1970-01-01 00:00:00.000001983,2240333333.33333,14221881.0,5.946570077545658,70.24,3.1274285714285712,43.489,71.3237656509463,157.52721692252453,14.221881,2.24033333333333,False,False,12.652940571456368
Uganda,1970-01-01 00:00:00.000001984,3615647477.05434,14607677.0,5.946570077545658,70.24,3.1274285714285712,43.706,71.3237656509463,247.51693763863616,14.607677,3.61564747705434,False,False,12.67685505595153
Uganda,1970-01-01 00:00:00.000001985,3519695443.52516,15023681.0,5.946570077545658,70.24,3.1274285714285712,45.496,71.3237656509463,234.27650277752568,15.023681,3.5196954435251597,False,False,12.874122001787184
Uganda,1970-01-01 00:00:00.000001986,3923244049.95796,15467579.0,5.946570077545658,70.24,3.1274285714285712,45.651,71.3237656509463,253.64305881081714,15.467579,3.92324404995796,False,False,12.891203776426584
Uganda,1970-01-01 00:00:00.000001987,6269522042.11556,15954170.0,5.946570077545658,70.24,3.1274285714285712,47.36,71.3237656509463,392.9707432047897,15.95417,6.269522042115559,False,False,13.07954411745068
Uganda,1970-01-01 00:00:00.000001988,6508931651.66667,16470483.0,5.946570077545658,70.24,3.1274285714285712,47.476,71.3237656509463,395.18766096092446,16.470483,6.5089316516666695,False,False,13.092327897180812
Uganda,1970-01-01 00:00:00.000001989,5276480799.33868,17010698.0,5.946570077545658,72.8,3.1274285714285712,47.488,71.3237656509463,310.1860252494448,17.010698,5.27648079933868,False,False,13.093650357152896
Uganda,1970-01-01 00:00:00.000001990,4304399310.30967,17569897.0,5.946570077545658,70.24,3.1274285714285712,47.561,71.3237656509463,244.98716812680635,17.569897,4.3043993103096705,False,False,13.101695321983064
Uganda,1970-01-01 00:00:00.000001991,3321729159.62277,18155901.0,5.946570077545658,70.24,3.448,47.549,56.1100006103516,182.95589734834806,18.155901,3.32172915962277,False,False,11.033927018982078
Uganda,1970-01-01 00:00:00.000001992,2857457761.90922,18785032.0,5.946570077545658,79.9,3.553,47.671,71.3237656509463,152.113542415537,18.785032,2.8574577619092203,False,False,12.526331684442944
Uganda,1970-01-01 00:00:00.000001993,3220439044.18949,19445161.0,5.946570077545658,70.24,3.487,47.681,71.3237656509463,165.6164762117161,19.445161,3.2204390441894897,False,False,12.615029588237064
Uganda,1970-01-01 00:00:00.000001994,3990430446.71216,20108801.0,10.0367598792175,70.24,3.458,47.675,71.3237656509463,198.44198799879516,20.108801,3.99043044671216,False,False,8.818146207566791
Uganda,1970-01-01 00:00:00.000001995,5755818842.49246,20665667.0,6.55014018970371,70.24,3.193,47.706,71.3237656509463,278.52083566876695,20.665667,5.75581884249246,False,False,12.216776453317767
Uganda,1970-01-01 00:00:00.000001996,6044585326.938,21231550.0,7.19164660433344,78.5,3.169,47.759,71.3237656509463,284.6982592857328,21.23155,6.044585326938,False,False,11.493758082737694
Uganda,1970-01-01 00:00:00.000001997,6269333313.17108,21856046.0,8.16902144106963,70.24,3.209,48.026,71.3237656509463,286.84663791296373,21.856046,6.26933331317108,False,False,10.4895008564623
Uganda,1970-01-01 00:00:00.000001998,6584815846.52754,22515806.0,0.0688041719983172,70.24,3.424,48.263,71.3237656509463,292.45303705883504,22.515806,6.58481584652754,False,False,34.238039054599454
